Awardee,Population,fiscal-year,funds,Category,project,data-source,fund-name,comply-deadline,has_complied
Arlington,"46,350",2025,"$3,500,000.00",afforable housing,"Arlington will pass through funds to Housing Corporation of Arlington (HCA) to acquire parcel adjacent to existing project, creating additional 30 new low-income units in 3A district.",MBTA Communities Catalyst Fund Awards | Mass.govhttps://www.mass.gov/info-details/mbta-communities-catalyst-fund-awards,Catalyst Fund,2023,TRUE
Malden,"65,906",2023,"$4,000,000.00",afforable housing,"The Cities of Malden and Revere are partnering to advance a regional transportation improvement project that will unlock 737 units of mixed-income housing units, 112 key hotel and 14,000 sf of retail as the final phase of development at Overlook Ridge. The two-communities have combined their permitting and approval process to advance this $460M development phase to create 219 affordable units, 1,400 construction jobs and 140 permanent jobs for the region.",MassWorks 2023 Awards | Mass.govhttps://www.mass.gov/info-details/massworks-2023-awards,MassWorks Awards,2024,TRUE
Medfield,"13,068",2024,"$4,486,800.00",afforable housing,Medfield will build the infrastructure required to unlock a $235M redevelopment of Medfield State Hospital into a 334-unit mixed income residential development with 25% affordable units.,HousingWorks Infrastructure Awards | Mass.gov,HousingWorks Awards,2024,TRUE
Newburyport,"18,652",2026,"$500,000.00",afforable housing,"Newburyport will conduct site preparation activities, including demolition, to support the redevelopment of the Brown School into 29 deeply affordable senior housing units.",Housing Choice Grant Program Awards | Mass.gov,Housing Choice Grant Program Awards,2024,TRUE
Revere,"60,012",2025,"$1,000,000.00",afforable housing,Revere will pass through funds to The Neighborhood Developers (TND) to acquire a parcel to build up to 300 new units.,MBTA Communities Catalyst Fund Awards | Mass.govhttps://www.mass.gov/info-details/mbta-communities-catalyst-fund-awards,Catalyst Fund,2025,TRUE
Easton,"25,316",2024,"$100,000.00",environment protection,"Easton will develop a climate and energy master plan taking into consideration climate-related efforts undertaken by the Town to date, identifying major priorities and opportunities to achieve additional energy efficiencies, reduce carbon emission, and increase resiliency.",Housing Choice Grant Program Awards | Mass.gov,Housing Choice Grant Program Awards,2024,TRUE
Easton,"25,316",2024,"$100,000.00",environment protection,"Easton will develop a climate and energy master plan taking into consideration climate-related efforts undertaken by the Town to date, identifying major priorities and opportunities to achieve additional energy efficiencies, reduce carbon emission, and increase resiliency.",Housing Choice Grant Program Awards | Mass.gov,Housing Choice Grant Program Awards,2024,TRUE
Gloucester,"30,075",2024,"$500,000.00",environment protection,The Gloucester Water Pollution Control Facility (WPCF) Improvements Project will upgrade treatment performance to meet secondary treatment standards at the WPCF’s current rated capacity as well as addressing aging assets and new solids management facilities. Secondary treatment will allow the City to meet the requirements of the current United States Environmental Protection Agency (USEPA) Consent Decree and its new National Pollutant Discharge Elimination System (NPDES) Discharge Permit.,MassWorks 2024 Awards | Mass.gov,MassWorks Awards,2024,TRUE
Malden,"65,906",2024,"$300,000.00",environment protection,Malden will transform one third of Malden's Department of Public Works Yard into a climate resilient waterfront park in an environmental justice neighborhood.,Housing Choice Grant Program Awards | Mass.gov,Housing Choice Grant Program Awards,2024,TRUE
Revere,"60,012",2025,"$280,000.00",environment protection,"Revere will design a new drainage system to improve stormwater management in the Riverside Neighborhood is located on the Pines River, a documented EJ population vulnerable to climate change, excessive pollution, and an outdated undersized municipal drainage system.",Housing Choice Grant Program Awards | Mass.gov,Housing Choice Grant Program Awards,2025,TRUE
Arlington,"46,350",2024,"$4,000,000.00",mixed use development,"This project will construct safety and multimodal improvements along the public ROW on Mass Avenue between Richardson Ave and Quinn Rd in Arlington. The project will accommodate new residential and business development in the immediate area, including a planned boutique hotel/restaurant and the newly constructed 124-unit mixed affordable and market rate housing development.",MassWorks 2024 Awards | Mass.gov,MassWorks Awards,2023,TRUE
Chelsea,"39,908",2026,"$500,000.00",mixed use development,Chelsea will conduct site preparation activities to leverage mixed-use development of 100 units (15% affordable) and 7 retail spaces at 115 Park Street.,Housing Choice Grant Program Awards | Mass.gov,Housing Choice Grant Program Awards,2024,TRUE
Littleton,"10,280",2025,"$5,000,000.00",mixed use development,"This project is Phase III of the King Street Commons Public Infrastructure Project at 550 King Street, a development with 804 housing units, 134,000 square feet of commercial space, and 480,000 square feet of office space. Construction will be done to improve 1,300 feet of roadway, sewer, water, stormwater, traffic, lighting, landscaping/streetscape and bicycle/pedestrian access. The project will create 2,600 construction jobs and 1,180 permanent full-time jobs.",MassWorks 2025 Awards | Mass.gov,MassWorks Awards,2024,TRUE
Marlborough,"41,647",2024,"$3,020,536.00",mixed use development,Marlborough will complete phase 3 of the Lincoln Street Reconstruction Project and make targeted improvements along Lincoln Street from Highland Street to Bolton Street to unlock new residential growth and private investment in this EJ area.,HousingWorks Infrastructure Awards | Mass.gov,HousingWorks Awards,2024,TRUE
